BEEID,TEST,CHOICE,CONDITION
5,7v9,1,NEGATIVE
5,7v9,1,NEGATIVE
5,7v9,1,NEGATIVE
5,7v9,0,NEGATIVE
5,7v9,1,NEGATIVE
5,11v9,1,NEGATIVE
5,11v9,0,NEGATIVE
5,11v9,0,NEGATIVE
5,11v9,0,NEGATIVE
5,11v9,0,NEGATIVE
5,11v9,0,NEGATIVE
5,11v9,1,NEGATIVE
5,11v9,1,NEGATIVE
5,11v9,0,NEGATIVE
5,11v9,0,NEGATIVE
5,13v15,1,NEGATIVE
5,13v15,0,NEGATIVE
5,13v15,0,NEGATIVE
5,13v15,1,NEGATIVE
5,13v15,0,NEGATIVE
5,13v15,0,NEGATIVE
5,13v15,1,NEGATIVE
5,13v15,1,NEGATIVE
5,13v15,0,NEGATIVE
5,13v15,1,NEGATIVE
6,7v9,0,POSITIVE
6,7v9,0,POSITIVE
6,7v9,0,POSITIVE
6,7v9,1,POSITIVE
6,7v9,1,POSITIVE
6,7v9,0,POSITIVE
6,7v9,1,POSITIVE
6,7v9,0,POSITIVE
6,7v9,1,POSITIVE
6,7v9,0,POSITIVE
6,11v9,0,POSITIVE
6,11v9,1,POSITIVE
6,11v9,1,POSITIVE
6,11v9,1,POSITIVE
6,11v9,1,POSITIVE
6,11v9,0,POSITIVE
6,11v9,1,POSITIVE
6,11v9,0,POSITIVE
6,11v9,1,POSITIVE
6,11v9,0,POSITIVE
6,13v15,1,POSITIVE
6,13v15,0,POSITIVE
6,13v15,0,POSITIVE
6,13v15,1,POSITIVE
6,13v15,1,POSITIVE
6,13v15,0,POSITIVE
6,13v15,0,POSITIVE
6,13v15,1,POSITIVE
6,13v15,0,POSITIVE
6,13v15,0,POSITIVE
7,7v9,0,NEGATIVE
7,7v9,0,NEGATIVE
7,7v9,0,NEGATIVE
7,7v9,1,NEGATIVE
7,7v9,0,NEGATIVE
7,7v9,0,NEGATIVE
7,7v9,0,NEGATIVE
7,7v9,0,NEGATIVE
7,7v9,0,NEGATIVE
7,7v9,0,NEGATIVE
7,11v9,0,NEGATIVE
7,11v9,1,NEGATIVE
7,11v9,1,NEGATIVE
7,11v9,0,NEGATIVE
7,11v9,1,NEGATIVE
7,11v9,1,NEGATIVE
7,11v9,1,NEGATIVE
7,11v9,0,NEGATIVE
7,11v9,0,NEGATIVE
7,11v9,0,NEGATIVE
7,13v15,1,NEGATIVE
7,13v15,0,NEGATIVE
7,13v15,0,NEGATIVE
7,13v15,0,NEGATIVE
7,13v15,1,NEGATIVE
7,13v15,1,NEGATIVE
7,13v15,1,NEGATIVE
7,13v15,0,NEGATIVE
7,13v15,0,NEGATIVE
7,13v15,1,NEGATIVE
8,7v9,0,POSITIVE
8,7v9,1,POSITIVE
8,7v9,1,POSITIVE
8,7v9,1,POSITIVE
8,7v9,0,POSITIVE
8,7v9,1,POSITIVE
8,7v9,0,POSITIVE
8,7v9,0,POSITIVE
8,7v9,1,POSITIVE
8,7v9,0,POSITIVE
8,11v9,1,POSITIVE
8,11v9,1,POSITIVE
8,11v9,1,POSITIVE
8,11v9,1,POSITIVE
8,11v9,1,POSITIVE
8,11v9,1,POSITIVE
8,11v9,0,POSITIVE
8,11v9,0,POSITIVE
8,11v9,1,POSITIVE
8,11v9,1,POSITIVE
8,13v15,0,POSITIVE
8,13v15,0,POSITIVE
8,13v15,1,POSITIVE
8,13v15,0,POSITIVE
8,13v15,0,POSITIVE
8,13v15,0,POSITIVE
8,13v15,1,POSITIVE
8,13v15,1,POSITIVE
8,13v15,0,POSITIVE
8,13v15,0,POSITIVE
9,7v9,1,NEGATIVE
9,7v9,1,NEGATIVE
9,7v9,0,NEGATIVE
9,7v9,1,NEGATIVE
9,7v9,0,NEGATIVE
9,7v9,1,NEGATIVE
9,7v9,0,NEGATIVE
9,7v9,1,NEGATIVE
9,7v9,0,NEGATIVE
9,7v9,1,NEGATIVE
9,11v9,1,NEGATIVE
9,11v9,1,NEGATIVE
9,11v9,0,NEGATIVE
9,11v9,0,NEGATIVE
9,11v9,1,NEGATIVE
9,11v9,1,NEGATIVE
9,11v9,1,NEGATIVE
9,11v9,0,NEGATIVE
9,11v9,0,NEGATIVE
9,11v9,0,NEGATIVE
9,13v15,1,NEGATIVE
9,13v15,0,NEGATIVE
9,13v15,0,NEGATIVE
9,13v15,1,NEGATIVE
9,13v15,0,NEGATIVE
9,13v15,1,NEGATIVE
9,13v15,1,NEGATIVE
9,13v15,0,NEGATIVE
9,13v15,1,NEGATIVE
9,13v15,0,NEGATIVE
10,7v9,1,POSITIVE
10,7v9,1,POSITIVE
10,7v9,1,POSITIVE
10,7v9,1,POSITIVE
10,7v9,1,POSITIVE
10,7v9,1,POSITIVE
10,7v9,1,POSITIVE
10,7v9,1,POSITIVE
10,7v9,1,POSITIVE
10,7v9,1,POSITIVE
10,11v9,1,POSITIVE
10,11v9,1,POSITIVE
10,11v9,1,POSITIVE
10,11v9,0,POSITIVE
10,11v9,0,POSITIVE
10,11v9,0,POSITIVE
10,11v9,1,POSITIVE
10,11v9,1,POSITIVE
10,11v9,0,POSITIVE
10,11v9,0,POSITIVE
10,13v15,1,POSITIVE
10,13v15,1,POSITIVE
10,13v15,1,POSITIVE
10,13v15,0,POSITIVE
10,13v15,1,POSITIVE
10,13v15,0,POSITIVE
10,13v15,0,POSITIVE
10,13v15,0,POSITIVE
10,13v15,1,POSITIVE
10,13v15,1,POSITIVE
11,7v9,0,NEGATIVE
11,7v9,0,NEGATIVE
11,7v9,0,NEGATIVE
11,7v9,0,NEGATIVE
11,7v9,0,NEGATIVE
11,7v9,1,NEGATIVE
11,7v9,1,NEGATIVE
11,7v9,0,NEGATIVE
11,7v9,1,NEGATIVE
11,7v9,1,NEGATIVE
11,11v9,0,NEGATIVE
11,11v9,1,NEGATIVE
11,11v9,1,NEGATIVE
11,11v9,0,NEGATIVE
11,11v9,1,NEGATIVE
11,11v9,1,NEGATIVE
11,11v9,1,NEGATIVE
11,11v9,0,NEGATIVE
11,11v9,1,NEGATIVE
11,11v9,0,NEGATIVE
11,13v15,0,NEGATIVE
11,13v15,0,NEGATIVE
11,13v15,0,NEGATIVE
11,13v15,0,NEGATIVE
11,13v15,1,NEGATIVE
11,13v15,0,NEGATIVE
11,13v15,1,NEGATIVE
11,13v15,0,NEGATIVE
11,13v15,0,NEGATIVE
11,13v15,1,NEGATIVE
12,7v9,0,POSITIVE
12,7v9,0,POSITIVE
12,7v9,0,POSITIVE
12,7v9,1,POSITIVE
12,7v9,1,POSITIVE
12,7v9,0,POSITIVE
12,7v9,0,POSITIVE
12,7v9,1,POSITIVE
12,7v9,1,POSITIVE
12,7v9,1,POSITIVE
12,11v9,0,POSITIVE
12,11v9,0,POSITIVE
12,11v9,1,POSITIVE
12,11v9,1,POSITIVE
12,11v9,1,POSITIVE
12,11v9,0,POSITIVE
12,11v9,0,POSITIVE
12,11v9,1,POSITIVE
12,11v9,1,POSITIVE
12,11v9,0,POSITIVE
12,13v15,1,POSITIVE
12,13v15,1,POSITIVE
12,13v15,0,POSITIVE
12,13v15,1,POSITIVE
12,13v15,1,POSITIVE
12,13v15,0,POSITIVE
12,13v15,1,POSITIVE
12,13v15,0,POSITIVE
12,13v15,1,POSITIVE
12,13v15,1,POSITIVE
13,7v9,1,NEGATIVE
13,7v9,1,NEGATIVE
13,7v9,0,NEGATIVE
13,7v9,0,NEGATIVE
13,7v9,0,NEGATIVE
13,7v9,0,NEGATIVE
13,7v9,1,NEGATIVE
13,7v9,1,NEGATIVE
13,7v9,1,NEGATIVE
13,7v9,0,NEGATIVE
13,11v9,1,NEGATIVE
13,11v9,1,NEGATIVE
13,11v9,0,NEGATIVE
13,11v9,0,NEGATIVE
13,11v9,0,NEGATIVE
13,11v9,1,NEGATIVE
13,11v9,0,NEGATIVE
13,11v9,1,NEGATIVE
13,11v9,1,NEGATIVE
13,11v9,0,NEGATIVE
13,13v15,1,NEGATIVE
13,13v15,1,NEGATIVE
13,13v15,1,NEGATIVE
13,13v15,1,NEGATIVE
13,13v15,0,NEGATIVE
13,13v15,1,NEGATIVE
13,13v15,1,NEGATIVE
13,13v15,0,NEGATIVE
13,13v15,0,NEGATIVE
13,13v15,0,NEGATIVE
14,7v9,0,POSITIVE
14,7v9,1,POSITIVE
14,7v9,0,POSITIVE
14,7v9,1,POSITIVE
14,7v9,0,POSITIVE
14,7v9,1,POSITIVE
14,7v9,0,POSITIVE
14,7v9,1,POSITIVE
14,7v9,0,POSITIVE
14,7v9,0,POSITIVE
14,11v9,1,POSITIVE
14,11v9,1,POSITIVE
14,11v9,1,POSITIVE
14,11v9,0,POSITIVE
14,11v9,0,POSITIVE
14,11v9,0,POSITIVE
14,11v9,1,POSITIVE
14,11v9,1,POSITIVE
14,11v9,1,POSITIVE
14,11v9,1,POSITIVE
14,13v15,1,POSITIVE
14,13v15,1,POSITIVE
14,13v15,0,POSITIVE
14,13v15,0,POSITIVE
14,13v15,0,POSITIVE
14,13v15,0,POSITIVE
14,13v15,1,POSITIVE
14,13v15,1,POSITIVE
14,13v15,0,POSITIVE
14,13v15,0,POSITIVE
15,7v9,0,NEGATIVE
15,7v9,0,NEGATIVE
15,7v9,0,NEGATIVE
15,7v9,0,NEGATIVE
15,7v9,0,NEGATIVE
15,7v9,0,NEGATIVE
15,7v9,1,NEGATIVE
15,7v9,0,NEGATIVE
15,7v9,0,NEGATIVE
15,7v9,1,NEGATIVE
15,11v9,0,NEGATIVE
15,11v9,1,NEGATIVE
15,11v9,0,NEGATIVE
15,11v9,1,NEGATIVE
15,11v9,0,NEGATIVE
15,11v9,0,NEGATIVE
15,11v9,1,NEGATIVE
15,11v9,1,NEGATIVE
15,11v9,1,NEGATIVE
15,11v9,0,NEGATIVE
15,13v15,1,NEGATIVE
15,13v15,1,NEGATIVE
15,13v15,1,NEGATIVE
15,13v15,0,NEGATIVE
15,13v15,0,NEGATIVE
15,13v15,0,NEGATIVE
15,13v15,1,NEGATIVE
15,13v15,1,NEGATIVE
15,13v15,1,NEGATIVE
15,13v15,1,NEGATIVE
16,7v9,1,POSITIVE
16,7v9,1,POSITIVE
16,7v9,1,POSITIVE
16,7v9,0,POSITIVE
16,7v9,1,POSITIVE
16,7v9,1,POSITIVE
16,7v9,0,POSITIVE
16,7v9,1,POSITIVE
16,7v9,1,POSITIVE
16,7v9,0,POSITIVE
16,11v9,0,POSITIVE
16,11v9,0,POSITIVE
16,11v9,0,POSITIVE
16,11v9,0,POSITIVE
16,11v9,1,POSITIVE
16,11v9,0,POSITIVE
16,11v9,1,POSITIVE
16,11v9,1,POSITIVE
16,11v9,1,POSITIVE
16,11v9,1,POSITIVE
16,13v15,0,POSITIVE
16,13v15,0,POSITIVE
16,13v15,0,POSITIVE
16,13v15,0,POSITIVE
16,13v15,0,POSITIVE
16,13v15,1,POSITIVE
16,13v15,1,POSITIVE
16,13v15,1,POSITIVE
16,13v15,1,POSITIVE
16,13v15,0,POSITIVE
17,7v9,1,NEGATIVE
17,7v9,1,NEGATIVE
17,7v9,1,NEGATIVE
17,7v9,0,NEGATIVE
17,7v9,1,NEGATIVE
17,7v9,0,NEGATIVE
17,7v9,1,NEGATIVE
17,7v9,1,NEGATIVE
17,7v9,1,NEGATIVE
17,7v9,1,NEGATIVE
17,11v9,0,NEGATIVE
17,11v9,0,NEGATIVE
17,11v9,0,NEGATIVE
17,11v9,0,NEGATIVE
17,11v9,0,NEGATIVE
17,11v9,0,NEGATIVE
17,11v9,0,NEGATIVE
17,11v9,1,NEGATIVE
17,11v9,0,NEGATIVE
17,11v9,1,NEGATIVE
17,13v15,1,NEGATIVE
17,13v15,1,NEGATIVE
17,13v15,0,NEGATIVE
17,13v15,1,NEGATIVE
17,13v15,1,NEGATIVE
17,13v15,1,NEGATIVE
17,13v15,1,NEGATIVE
17,13v15,0,NEGATIVE
17,13v15,1,NEGATIVE
17,13v15,0,NEGATIVE
18,7v9,1,POSITIVE
18,7v9,0,POSITIVE
18,7v9,1,POSITIVE
18,7v9,0,POSITIVE
18,7v9,1,POSITIVE
18,7v9,0,POSITIVE
18,7v9,1,POSITIVE
18,7v9,1,POSITIVE
18,7v9,1,POSITIVE
18,7v9,1,POSITIVE
18,11v9,1,POSITIVE
18,11v9,1,POSITIVE
18,11v9,1,POSITIVE
18,11v9,0,POSITIVE
18,11v9,0,POSITIVE
18,11v9,0,POSITIVE
18,11v9,0,POSITIVE
18,11v9,0,POSITIVE
18,11v9,0,POSITIVE
18,11v9,0,POSITIVE
18,13v15,0,POSITIVE
18,13v15,0,POSITIVE
18,13v15,0,POSITIVE
18,13v15,0,POSITIVE
18,13v15,1,POSITIVE
18,13v15,0,POSITIVE
18,13v15,0,POSITIVE
18,13v15,1,POSITIVE
18,13v15,1,POSITIVE
18,13v15,0,POSITIVE
19,7v9,0,NEGATIVE
19,7v9,1,NEGATIVE
19,7v9,1,NEGATIVE
19,7v9,0,NEGATIVE
19,7v9,1,NEGATIVE
19,7v9,1,NEGATIVE
19,7v9,1,NEGATIVE
19,7v9,0,NEGATIVE
19,7v9,0,NEGATIVE
19,7v9,0,NEGATIVE
19,11v9,1,NEGATIVE
19,11v9,0,NEGATIVE
19,11v9,1,NEGATIVE
19,11v9,0,NEGATIVE
19,11v9,0,NEGATIVE
19,11v9,1,NEGATIVE
19,11v9,0,NEGATIVE
19,11v9,1,NEGATIVE
19,11v9,0,NEGATIVE
19,11v9,1,NEGATIVE
19,13v15,1,NEGATIVE
19,13v15,1,NEGATIVE
19,13v15,0,NEGATIVE
19,13v15,0,NEGATIVE
19,13v15,0,NEGATIVE
19,13v15,0,NEGATIVE
19,13v15,0,NEGATIVE
19,13v15,1,NEGATIVE
19,13v15,1,NEGATIVE
19,13v15,1,NEGATIVE
20,7v9,1,POSITIVE
20,7v9,1,POSITIVE
20,7v9,0,POSITIVE
20,7v9,1,POSITIVE
20,7v9,0,POSITIVE
20,7v9,1,POSITIVE
20,7v9,1,POSITIVE
20,7v9,1,POSITIVE
20,7v9,0,POSITIVE
20,7v9,0,POSITIVE
20,11v9,1,POSITIVE
20,11v9,0,POSITIVE
20,11v9,1,POSITIVE
20,11v9,1,POSITIVE
20,11v9,0,POSITIVE
20,11v9,0,POSITIVE
20,11v9,0,POSITIVE
20,11v9,1,POSITIVE
20,11v9,1,POSITIVE
20,11v9,0,POSITIVE
20,13v15,0,POSITIVE
20,13v15,0,POSITIVE
20,13v15,1,POSITIVE
20,13v15,0,POSITIVE
20,13v15,1,POSITIVE
20,13v15,0,POSITIVE
20,13v15,1,POSITIVE
20,13v15,1,POSITIVE
20,13v15,0,POSITIVE
20,13v15,0,POSITIVE
